feature,bucket,horizon_min,n,mean_%,median_%,n_pos,n_neg,n_neutral,pf,fold
wick_imbalance,low,5,42766,0.0023,0.003,5398,5183,32185,1.014,all
wick_imbalance,mid,5,44062,-0.0008,-0.0003,4146,4406,35510,0.96,all
wick_imbalance,high,5,42767,-0.0022,-0.0025,5111,5435,32221,0.961,all
wick_imbalance,low,15,42765,0.0041,0.0058,9835,9360,23570,1.035,all
wick_imbalance,mid,15,44056,-0.0025,-0.0024,8386,8693,26977,0.968,all
wick_imbalance,high,15,42764,-0.0037,-0.0029,9261,9765,23738,0.957,all
wick_imbalance,low,30,42761,0.0051,0.0079,12689,11982,18090,1.033,all
wick_imbalance,mid,30,44049,-0.0064,-0.0035,11235,11806,21008,0.941,all
wick_imbalance,high,30,42760,-0.0028,-0.0022,12122,12357,18281,0.979,all
wick_imbalance,low,5,10691,0.0007,0.004,1846,1832,7013,0.984,1
wick_imbalance,mid,5,11013,-0.0033,0.0006,1612,1789,7612,0.906,1
wick_imbalance,high,5,10691,-0.0063,-0.0029,1694,1876,7121,0.888,1
wick_imbalance,low,15,10687,-0.0054,0.0042,2869,2848,4970,0.942,1
wick_imbalance,mid,15,11009,-0.0083,0.0,2681,2772,5556,0.917,1
wick_imbalance,high,15,10689,-0.0134,-0.0058,2687,2920,5082,0.885,1
wick_imbalance,low,30,10685,-0.0152,0.0108,3483,3396,3806,0.901,1
wick_imbalance,mid,30,11001,-0.0179,-0.005,3303,3483,4215,0.887,1
wick_imbalance,high,30,10684,-0.0212,-0.0048,3358,3490,3836,0.875,1
wick_imbalance,low,5,10690,0.0049,0.0048,1587,1404,7699,1.094,2
wick_imbalance,mid,5,11014,0.0,-0.002,1345,1418,8251,1.002,2
wick_imbalance,high,5,10691,-0.0001,-0.0026,1513,1562,7616,1.027,2
wick_imbalance,low,15,10686,0.0096,0.0077,2747,2570,5369,1.098,2
wick_imbalance,mid,15,11011,0.0025,-0.0045,2548,2602,5861,1.048,2
wick_imbalance,high,15,10688,0.0025,-0.0023,2648,2755,5285,1.028,2
wick_imbalance,low,30,10682,0.0158,0.0054,3485,3244,3953,1.123,2
wick_imbalance,mid,30,11006,0.007,-0.0043,3296,3409,4301,1.063,2
wick_imbalance,high,30,10682,0.0063,-0.007,3350,3473,3859,1.052,2
wick_imbalance,low,5,10691,0.0015,0.0011,1055,1029,8607,1.001,3
wick_imbalance,mid,5,11015,-0.0025,-0.0017,810,887,9318,0.932,3
wick_imbalance,high,5,10689,-0.0006,-0.0032,1025,1089,8575,1.011,3
wick_imbalance,low,15,10690,0.0029,0.0029,2163,2097,6430,1.038,3
wick_imbalance,mid,15,11011,-0.0053,-0.0072,1841,2013,7157,0.929,3
wick_imbalance,high,15,10684,-0.0029,-0.0056,2039,2188,6457,0.977,3
wick_imbalance,low,30,10683,0.0004,-0.0019,2828,2937,4918,0.998,3
wick_imbalance,mid,30,11005,-0.011,-0.0084,2545,2824,5636,0.882,3
wick_imbalance,high,30,10682,-0.0006,-0.0026,2809,2840,5033,0.998,3
wick_imbalance,low,5,10690,0.0033,0.0028,814,773,9103,1.039,4
wick_imbalance,mid,5,11014,0.0011,0.0006,567,567,9880,1.015,4
wick_imbalance,high,5,10691,-0.0013,-0.0011,787,794,9110,0.974,4
wick_imbalance,low,15,10689,0.0073,0.0082,1909,1712,7068,1.11,4
wick_imbalance,mid,15,11008,0.0005,0.0023,1543,1538,7927,0.984,4
wick_imbalance,high,15,10688,0.0016,0.0013,1790,1790,7108,1.018,4
wick_imbalance,low,30,10684,0.0148,0.0148,2708,2282,5694,1.182,4
wick_imbalance,mid,30,11002,-0.0008,0.0038,2340,2283,6379,0.978,4
wick_imbalance,high,30,10684,0.0047,0.0014,2503,2459,5722,1.06,4
micro_velocity,low,5,45317,-0.0007,-0.0002,3353,3533,38431,0.945,all
micro_velocity,mid,5,32808,-0.0,0.0006,3274,3298,26236,0.991,all
micro_velocity,high,5,51470,0.0,0.0,8028,8193,35249,0.987,all
micro_velocity,low,15,45308,-0.0012,-0.0002,7637,7942,29729,0.968,all
micro_velocity,mid,15,32807,0.0003,0.0,6678,6718,19411,1.003,all
micro_velocity,high,15,51470,-0.0009,0.0,13167,13158,25145,0.99,all
micro_velocity,low,30,45296,-0.0029,-0.0018,10696,11048,23552,0.967,all
micro_velocity,mid,30,32805,-0.0008,-0.0,8954,8934,14917,0.993,all
micro_velocity,high,30,51469,-0.0005,0.0039,16396,16163,18910,0.992,all
micro_velocity,low,5,12004,-0.0038,0.0003,1297,1476,9231,0.841,1
micro_velocity,mid,5,9659,-0.0014,0.0011,1432,1475,6752,0.956,1
micro_velocity,high,5,10732,-0.0036,-0.0002,2423,2546,5763,0.948,1
micro_velocity,low,15,12000,-0.0076,-0.0005,2523,2653,6824,0.887,1
micro_velocity,mid,15,9656,-0.0061,-0.0008,2364,2448,4844,0.931,1
micro_velocity,high,15,10729,-0.0132,-0.002,3350,3439,3940,0.92,1
micro_velocity,low,30,11994,-0.0145,-0.0036,3265,3418,5311,0.872,1
micro_velocity,mid,30,9649,-0.0147,0.0027,2928,2999,3722,0.887,1
micro_velocity,high,30,10727,-0.0251,0.0076,3951,3952,2824,0.897,1
micro_velocity,low,5,12583,-0.0001,-0.0007,1324,1324,9935,0.997,2
micro_velocity,mid,5,8041,0.0021,0.0006,1047,1012,5982,1.071,2
micro_velocity,high,5,11771,0.003,0.0002,2074,2048,7649,1.052,2
micro_velocity,low,15,12580,0.0024,0.0004,2694,2761,7125,1.03,2
micro_velocity,mid,15,8039,0.0016,-0.0068,1898,1945,4196,1.036,2
micro_velocity,high,15,11766,0.0097,0.0042,3351,3221,5194,1.088,2
micro_velocity,low,30,12572,0.0019,-0.0055,3579,3687,5306,1.025,2
micro_velocity,mid,30,8037,0.0049,-0.0066,2517,2574,2946,1.044,2
micro_velocity,high,30,11761,0.0212,0.0052,4035,3865,3861,1.144,2
micro_velocity,low,5,11114,-0.0,-0.0008,707,722,9685,1.011,3
micro_velocity,mid,5,8833,0.0009,-0.0003,730,735,7368,1.053,3
micro_velocity,high,5,12448,-0.002,-0.002,1453,1548,9447,0.944,3
micro_velocity,low,15,11114,0.0006,-0.0009,1754,1777,7583,1.024,3
micro_velocity,mid,15,8831,-0.0007,-0.0048,1619,1673,5539,1.002,3
micro_velocity,high,15,12440,-0.0048,-0.0062,2670,2848,6922,0.951,3
micro_velocity,low,30,11111,0.0004,-0.0041,2518,2533,6060,1.016,3
micro_velocity,mid,30,8828,-0.004,-0.0058,2204,2325,4299,0.96,3
micro_velocity,high,30,12431,-0.0074,-0.0047,3460,3743,5228,0.929,3
micro_velocity,low,5,11105,0.0002,0.0,528,525,10052,0.989,4
micro_velocity,mid,5,9122,0.0006,0.0015,567,574,7981,0.949,4
micro_velocity,high,5,12168,0.0021,0.0013,1073,1035,10060,1.049,4
micro_velocity,low,15,11097,0.0006,0.0021,1454,1469,8174,0.98,4
micro_velocity,mid,15,9120,0.0021,0.0036,1428,1374,6318,1.014,4
micro_velocity,high,15,12168,0.006,0.0056,2360,2197,7611,1.09,4
micro_velocity,low,30,11087,0.0007,0.0034,2238,2192,6657,1.007,4
micro_velocity,mid,30,9116,0.0037,0.0078,2058,1926,5132,1.031,4
micro_velocity,high,30,12167,0.013,0.0088,3255,2906,6006,1.143,4
vol_burst,low,5,42768,0.0008,0.0015,7468,7483,27817,0.999,all
vol_burst,mid,5,44064,-0.0018,-0.0007,4379,4681,35004,0.934,all
vol_burst,high,5,42763,0.0004,0.0,2808,2860,37095,0.994,all
vol_burst,low,15,42768,0.0016,0.002,11793,11640,19335,1.011,all
vol_burst,mid,15,44063,-0.0027,-0.0013,8865,9290,25908,0.957,all
vol_burst,high,15,42754,-0.0009,-0.0001,6824,6888,29042,0.978,all
vol_burst,low,30,42768,0.0042,0.0065,14338,13833,14597,1.024,all
vol_burst,mid,30,44063,-0.0048,-0.0007,11999,12295,19769,0.953,all
vol_burst,high,30,42739,-0.0036,-0.0021,9709,10017,23013,0.955,all
vol_burst,low,5,10692,-0.0024,-0.0009,2504,2599,5589,0.971,1
vol_burst,mid,5,11013,-0.0037,0.0,1674,1771,7568,0.898,1
vol_burst,high,5,10690,-0.0029,0.0012,974,1127,8589,0.83,1
vol_burst,low,15,10691,-0.0058,0.0,3487,3503,3701,0.967,1
vol_burst,mid,15,11009,-0.0154,-0.005,2720,2942,5347,0.848,1
vol_burst,high,15,10685,-0.0057,0.0018,2030,2095,6560,0.888,1
vol_burst,low,30,10687,-0.0169,0.0023,3995,3940,2752,0.933,1
vol_burst,mid,30,11006,-0.0185,0.0061,3452,3487,4067,0.873,1
vol_burst,high,30,10677,-0.0189,-0.0032,2697,2942,5038,0.809,1
vol_burst,low,5,10691,0.0054,0.0046,1987,1854,6850,1.081,2
vol_burst,mid,5,11014,-0.0009,-0.0012,1420,1513,8081,0.978,2
vol_burst,high,5,10690,0.0004,-0.0016,1038,1017,8635,1.053,2
vol_burst,low,15,10687,0.0151,0.0145,3156,2903,4628,1.128,2
vol_burst,mid,15,11011,0.0004,-0.0035,2638,2743,5630,1.009,2
vol_burst,high,15,10687,-0.0008,-0.0054,2149,2281,6257,1.01,2
vol_burst,low,30,10686,0.0271,0.0134,3780,3448,3458,1.181,2
vol_burst,mid,30,11004,-0.0011,-0.0078,3408,3529,4067,0.998,2
vol_burst,high,30,10680,0.0034,-0.0091,2943,3149,4588,1.043,2
vol_burst,low,5,10691,-0.0009,-0.0012,1381,1414,7896,0.977,3
vol_burst,mid,5,11014,-0.001,-0.0018,889,964,9161,0.97,3
vol_burst,high,5,10690,0.0003,-0.0004,620,627,9443,1.027,3
vol_burst,low,15,10688,0.0005,-0.0056,2445,2515,5728,1.025,3
vol_burst,mid,15,11010,-0.0048,-0.0053,1959,2140,6911,0.934,3
vol_burst,high,15,10687,-0.0011,-0.0013,1639,1643,7405,0.977,3
vol_burst,low,30,10686,0.0049,0.0002,3169,3223,4294,1.035,3
vol_burst,mid,30,11004,-0.0094,-0.0087,2679,2939,5386,0.908,3
vol_burst,high,30,10680,-0.0068,-0.006,2334,2439,5907,0.915,3
vol_burst,low,5,10692,0.002,0.0021,1050,992,8650,1.037,4
vol_burst,mid,5,11015,-0.0001,0.0002,638,670,9707,0.944,4
vol_burst,high,5,10688,0.0011,0.0001,480,472,9736,1.037,4
vol_burst,low,15,10692,0.0073,0.0066,2219,2039,6434,1.101,4
vol_burst,mid,15,11012,0.0031,0.0033,1692,1658,7662,1.034,4
vol_burst,high,15,10681,-0.0012,0.002,1331,1343,8007,0.94,4
vol_burst,low,30,10692,0.0129,0.0076,2983,2679,5030,1.136,4
vol_burst,mid,30,11011,0.0086,0.0102,2538,2293,6180,1.107,4
vol_burst,high,30,10667,-0.0032,0.0022,2030,2052,6585,0.939,4
close_lean,low,5,42766,0.0001,0.0021,4488,4536,33742,0.945,all
close_lean,mid,5,44063,0.0008,0.0005,5835,5874,32354,1.006,all
close_lean,high,5,42766,-0.0016,-0.0024,4332,4614,33820,0.978,all
close_lean,low,15,42763,-0.0011,0.001,8673,8646,25444,0.976,all
close_lean,mid,15,44063,-0.0007,0.0001,10326,10423,23314,0.988,all
close_lean,high,15,42759,-0.0003,-0.0012,8483,8749,25527,0.999,all
close_lean,low,30,42758,-0.0005,0.0026,11621,11370,19767,0.992,all
close_lean,mid,30,44062,-0.0035,-0.0002,13220,13285,17557,0.974,all
close_lean,high,30,42750,-0.0003,-0.0008,11205,11490,20055,0.995,all
close_lean,low,5,10690,-0.0019,0.0043,1656,1726,7308,0.917,1
close_lean,mid,5,11016,-0.0009,0.001,1952,1983,7081,0.97,1
close_lean,high,5,10689,-0.0062,-0.003,1544,1788,7357,0.885,1
close_lean,low,15,10684,-0.0043,0.0041,2741,2696,5247,0.952,1
close_lean,mid,15,11016,-0.0101,-0.0001,2979,3032,5005,0.911,1
close_lean,high,15,10685,-0.0126,-0.0057,2517,2812,5356,0.881,1
close_lean,low,30,10675,-0.0095,0.0076,3401,3276,3998,0.934,1
close_lean,mid,30,11016,-0.0272,-0.0024,3540,3718,3758,0.852,1
close_lean,high,30,10679,-0.0172,-0.0036,3203,3375,4101,0.884,1
close_lean,low,5,10691,-0.0009,0.0011,1423,1423,7845,0.94,2
close_lean,mid,5,11015,0.0057,0.0024,1663,1575,7777,1.123,2
close_lean,high,5,10689,-0.0001,-0.0039,1359,1386,7944,1.057,2
close_lean,low,15,10687,0.0016,0.0,2559,2533,5595,1.019,2
close_lean,mid,15,11011,0.0083,0.0055,2857,2779,5375,1.083,2
close_lean,high,15,10687,0.0046,-0.0043,2527,2615,5545,1.068,2
close_lean,low,30,10685,0.0043,-0.0008,3283,3300,4102,1.035,2
close_lean,mid,30,11003,0.0129,0.0014,3620,3504,3879,1.099,2
close_lean,high,30,10682,0.0116,-0.006,3228,3322,4132,1.102,2
close_lean,low,5,10689,0.0008,0.0017,847,886,8956,0.97,3
close_lean,mid,5,11014,-0.0012,-0.0025,1166,1196,8652,0.99,3
close_lean,high,5,10692,-0.0012,-0.003,877,923,8892,0.993,3
close_lean,low,15,10689,-0.0042,-0.0035,1880,1974,6835,0.936,3
close_lean,mid,15,11007,-0.0019,-0.0063,2292,2412,6303,0.992,3
close_lean,high,15,10689,0.0006,-0.0014,1871,1912,6906,1.021,3
close_lean,low,30,10683,-0.0037,-0.0032,2614,2711,5358,0.958,3
close_lean,mid,30,11002,-0.0052,-0.0097,2990,3255,4757,0.955,3
close_lean,high,30,10685,-0.0026,-0.0023,2578,2635,5472,0.97,3
close_lean,low,5,10690,0.0008,0.001,619,620,9451,0.959,4
close_lean,mid,5,11015,0.0031,0.0031,943,846,9226,1.083,4
close_lean,high,5,10690,-0.0008,-0.001,606,668,9416,0.956,4
close_lean,low,15,10687,0.0012,0.0034,1559,1553,7575,0.98,4
close_lean,mid,15,11015,0.0047,0.0047,2065,1963,6987,1.068,4
close_lean,high,15,10683,0.0034,0.0031,1618,1524,7541,1.065,4
close_lean,low,30,10682,0.0041,0.0067,2362,2166,6154,1.045,4
close_lean,mid,30,11014,0.0105,0.01,2927,2615,5472,1.126,4
close_lean,high,30,10674,0.0038,0.0046,2262,2243,6169,1.037,4
