ts,bar_idx,setup_type,side,entry,vol_z_1m,vol_z_15m,vol_z_1h,atr_1h_pct,atr_ratio_20,bb_width_pct,ema50_200_spread_pct,adx_1h,trend_slope_6h_pct,rsi_1h,rsi_15m,mfi_1h,eth_rsi_1h,btc_eth_corr_30h,session,hour_utc,last5_close_lean,last5_wick_imbalance,verdict,pnl_pct,hold_minutes,class
1748133960000,25260,long_pdl_bounce,long,107342.6,0.3112766340898331,0.17739533037600347,0.41373478055989377,0.4403720054306081,0.6418687647539713,1.9314719548861468,1.4443912178262228,50.72024116154509,-1.2709252969460436,22.643691492005587,19.037485194158975,36.89706127052705,50.0,0.0,ASIA,0,0.5382780545043688,0.1837793667007093,EXPIRE,0.7249,240,NEUTRAL
1748166360000,25800,long_pdl_bounce,long,106804.3,0.8227053355445992,0.08465959010992034,1.1245075198226306,0.5125828538177082,0.96204978812532,2.319739369476663,1.0390281522646336,76.22210959466175,-0.8918759525698298,23.69665110042679,25.98818077654687,21.015989531266413,50.0,0.0,EU,9,0.475336726299039,1.6466602129718453,EXPIRE,0.6311,240,NEUTRAL
1748443560000,30420,long_pdl_bounce,long,107566.4,1.0665348633644327,1.2822611557811787,3.7994451681835435,0.45864060836896536,0.7929393435946587,1.6974746854083917,0.7818153388769629,64.54487612069882,-1.391896310039069,24.190040279409644,17.77269577991592,29.835112810990324,50.0,0.0,US,14,0.44557504060782466,0.3468818782097071,EXPIRE,0.0846,240,NEUTRAL
1748461560000,30720,long_pdl_bounce,long,107003.9,2.8711124050686943,1.1117944198859004,0.21992588538086688,0.4983035031280876,0.8477981253068719,2.6293085840152197,0.29434705978262454,62.87173021626607,-1.0386380113714986,24.51176261822792,41.68767699880638,26.65994627199899,50.0,0.0,US,19,0.5194398127312188,0.2908356475636982,TP1,0.5997,240,TRUE
1748493960000,31260,long_pdl_bounce,long,106989.2,0.2781931749035294,2.2036091950297463,0.6908673590909314,0.5563057297161997,1.30724940156065,2.214494410458933,-0.014297895822435451,14.807556073775416,0.1524291315338419,50.46234933750616,41.19569320010347,45.067111997367626,50.0,0.0,ASIA,4,0.5222144195396263,0.5155943950579522,TP1,1.0522,240,TRUE
1748540760000,32040,long_pdl_bounce,long,106500.3,2.509144486984709,0.546987121880602,1.1578658837306086,0.6033386586020741,1.1591068869148486,2.388913259484036,-0.016419891800091898,56.391184199569594,-2.2763776817469035,29.67921428037934,33.39896539996792,29.56178932683052,50.0,0.0,US,17,0.4769938294358062,0.5932183640175847,EXPIRE,-0.2587,240,NEUTRAL
1748688360000,34500,long_pdl_bounce,long,103108.0,0.8659374047275694,-0.6649861826212285,-0.6185853003839088,0.48579302913506495,0.8135459182259445,2.177809083810376,-2.360709611732455,75.9329208883085,-0.3872384695410935,31.735758574827088,36.445685530754645,20.90238730915482,50.0,0.0,EU,10,0.469151787382948,0.10533257961233104,NO_FILL,0.0,0,NEUTRAL
1748864760000,37440,long_pdl_bounce,long,103841.8,0.934398475496153,0.5256582481517796,0.8720381160752575,0.4227246288334835,1.1958241514110406,1.504558245681778,-1.3539780771797132,24.69985374691589,-0.7499013438319785,25.73893357802598,6.624327900787719,37.06613927722803,50.0,0.0,EU,11,0.2749400545130062,3.519129519128688,EXPIRE,0.3152,240,NEUTRAL
1749109560000,41520,long_pdl_bounce,long,104261.0,0.40310206180676844,-0.20337303552256303,-0.4423530051137388,0.33814186708830435,0.9459381053976414,0.9397981941230059,-0.6499348469520472,36.10294343643408,-0.24516363267086755,39.98820484502911,25.866140484341628,42.81410925926629,50.0,0.0,ASIA,7,0.38164684339331884,0.0,SL,-0.6602,165,FALSE
1749145560000,42120,long_pdl_bounce,long,103017.5,0.5405732555504561,-0.902848074462917,0.7839758847778031,0.5856033597595885,1.25185070453847,2.054848656969633,-0.7910348314298592,35.57340234508707,-1.5146363846231718,32.48744541590517,33.32584421128284,29.94401135460511,50.0,0.0,US,17,0.2805825595363443,0.8113856740694834,SL,-0.4638,3,FALSE
1749671160000,50880,long_pdl_bounce,long,108363.5,1.0159676752689202,-1.0712376713023088,-0.3013695636054721,0.4357126718079497,0.6937795295717009,1.1331345185362633,1.9930651309227336,17.53312138663058,-0.8584934903905809,36.737215337938956,30.177926300577866,45.64780376907841,50.0,0.0,US,19,0.36964985446888393,1.0738206697881971,EXPIRE,0.1355,240,NEUTRAL
1749764760000,52440,long_pdl_bounce,long,105894.5,0.8087829580233703,-0.7086288802717502,-0.22790338983884492,0.6733411832987078,1.2462124616715724,2.388971387177969,0.8045572292117149,41.67573603868716,-1.0527284611097167,35.24053443043647,26.682275364953696,27.97434749198503,50.0,0.0,US,21,0.6277482975329145,0.8657706556385978,SL,-0.6963,122,FALSE
1749915960000,54960,long_pdl_bounce,long,104555.4,2.05817818448881,1.27609549060021,-0.0011746912025674453,0.24368327585189614,0.38282683766661,1.2501241522810755,-0.7494485801912173,94.95740011618145,-0.019988125375127192,27.37116257653264,46.74685102755951,29.93947550142417,50.0,0.0,US,15,0.47349822717539425,0.8829005389517528,EXPIRE,0.1965,240,NEUTRAL
1749919560000,55020,long_pdl_bounce,long,104336.5,3.6700110927202427,3.9467462878453397,0.9746992557585681,0.26110600044488225,0.4302523575189129,1.4124321479116586,-0.6591596092557028,95.43195439263263,-0.5276258161930497,22.683043167183584,26.00733338705743,26.91624880996919,50.0,0.0,US,16,0.4239057141757504,0.1892752203722787,TP1,0.9121,240,TRUE
1750535160000,65280,long_pdl_bounce,long,102167.8,1.3559509905211078,0.24749779849321224,3.592387969437111,0.3339719947459575,0.533972025425669,1.5046947571392937,-1.1444105204245536,53.69135308763113,-1.2814141697552386,25.055674091292317,12.723370002684021,28.52452558460567,50.0,0.0,US,19,0.4347263100216211,1.1434179167252532,SL,-0.5405,1,FALSE
1750549560000,65520,long_pdl_bounce,long,100964.9,1.45111285533658,2.1324674093458085,2.361114303351735,0.5660944552254892,0.9816298630908183,2.797518011627817,-1.1099946352833425,89.29633354023315,-1.0301795896958987,29.652307794029227,46.024382870512625,31.073135132873148,50.0,0.0,US,23,0.5952657839452346,0.15868948975133917,TP2,1.4789,17,TRUE
1750621560000,66720,long_pdl_bounce,long,98702.2,2.068251952507179,-0.6014869768014512,-0.40351113552344564,0.8331591493240177,1.4717670198556354,5.88948792632167,-1.8804928530717908,67.20924677873343,-1.9658028312113427,22.378801431748983,51.31609351637882,27.5673450760911,50.0,0.0,US,19,0.21929489571829103,4.210648918468771,TP2,1.2382,116,TRUE
1751031960000,73560,long_pdl_bounce,long,106366.6,1.0055473771242442,1.6930749698767464,0.6361058011952695,0.3931530685120978,0.9633860270836463,1.0646601874924662,1.5206433347029231,61.15064373826929,-0.045588221395942,47.454437520949,43.065952553674265,40.41618512814743,50.0,0.0,EU,13,0.14064073428522486,1.9383675735698094,TP1,0.1593,240,TRUE
1751291160000,77880,long_pdl_bounce,long,107364.1,2.6669493430933304,3.4970138859450097,1.2168885784521422,0.3006476484253712,1.1059763975428776,1.6349899944599517,1.1617236741886547,28.248978781192886,-0.08232194151545644,29.50745326918556,50.2026228821796,24.579191226054547,50.0,0.0,EU,13,0.3741368059064608,1.7098400556319382,EXPIRE,0.0617,240,NEUTRAL
1751345160000,78780,long_pdl_bounce,long,106769.2,3.341206584605448,1.8799258456634338,-0.4647943873599816,0.4047469349261254,1.1925185424273588,0.9840509379980931,1.020471356367172,29.38079976652219,-0.21580063997982893,51.210700189307204,24.654959713174108,50.94468380715462,50.0,0.0,ASIA,4,0.12381448091605798,0.00271739130688017,EXPIRE,-0.145,240,NEUTRAL
1751352360000,78900,long_pdl_bounce,long,106650.0,0.8334213263668684,-0.6378415461321857,-0.856837356978089,0.32537220673296546,0.9450782376266845,1.0531362221163292,0.9706226776151217,46.25336123549811,-0.45284363451323195,35.977791925846645,33.848114476087716,26.134594051460937,50.0,0.0,ASIA,6,0.8561754587717232,4.007352941164571,EXPIRE,-0.3343,240,NEUTRAL
1751359560000,79020,long_pdl_bounce,long,106526.2,1.22388724361262,-0.005675756454475353,-0.38512891708020036,0.3392026655284174,1.1171217171132848,1.0673029293250997,0.8766458177147763,15.946348733232922,-0.3656058088345823,40.91702385628179,48.5295704311101,36.32420904366256,50.0,0.0,EU,8,0.367732579170296,0.9891799544426081,EXPIRE,-0.1772,240,NEUTRAL
1751381160000,79380,long_pdl_bounce,long,105550.6,2.0629114091719187,1.9140881521714905,3.347292541766739,0.40123739842880995,0.9519531228970581,1.5457811919775275,0.7033188564096255,39.787253240828775,-0.735750273732234,28.099642238752864,39.183079660615796,33.6474898070493,50.0,0.0,US,14,0.19574644068535402,1.753652804741114,TP1,-0.0454,240,TRUE
1751615160000,83280,long_pdl_bounce,long,108646.3,0.8957814453226082,2.55346019054151,0.44534790491049936,0.2832126429228541,0.7640786441303196,1.3752973872106615,1.0087675601072215,38.30572607959165,-0.7306026730043174,27.200328144810243,32.454146996954265,25.951868111958234,50.0,0.0,ASIA,7,0.27406188725083636,1.2849491162296456,EXPIRE,0.1352,240,NEUTRAL
1751640360000,83700,long_pdl_bounce,long,107621.5,3.849124493997758,1.088514370788541,3.4482797185995957,0.3511183696185083,0.6187630942624625,2.021525170797953,0.7933034252290041,69.31321262454532,-0.8764722799827284,16.662804819585446,15.90881462179648,14.963610040184847,50.0,0.0,US,14,0.2234259684245014,1.498749715844173,EXPIRE,-0.225,240,NEUTRAL
1751795160000,86280,long_pdl_bounce,long,107798.6,1.5488801251931794,3.0799839778418314,1.348347663235987,0.1300840994689887,0.6113125457104709,0.3315408779734116,0.19690660801160645,9.877541023757397,-0.18554288832934535,32.078229997174105,24.473944621817353,29.820562322402267,50.0,0.0,EU,9,0.9987421383654361,0.5,NO_FILL,0.0,0,NEUTRAL
1751906760000,88140,long_pdl_bounce,long,107895.1,3.308668197433875,-0.3107316581739128,0.8390523174436761,0.34033069795067317,1.126046898020494,1.4427897011742972,0.373212578431507,71.15366111806081,-0.6324349504813602,22.571998972148904,39.99712857694061,19.813643271791236,50.0,0.0,US,16,0.31712915694988253,78.55855855953152,EXPIRE,-0.0965,240,NEUTRAL
1752860760000,104040,long_pdl_bounce,long,117391.8,0.6526809500156596,-0.9371907634922616,-0.9977137714419573,0.6751153458964135,1.0215012379598203,3.0953196107292977,1.3793191446523632,62.116180278863055,-1.318546892230969,24.824554668304742,43.86731663584902,20.43784386740974,50.0,0.0,US,17,0.45115777120171563,0.6077888218996634,EXPIRE,0.0787,240,NEUTRAL
1752864360000,104100,long_pdl_bounce,long,117195.1,1.1578314295887377,-0.4750228499088522,-0.5886696355083673,0.6616689177498649,0.9249410420186402,3.381137342439082,1.3132907235143316,61.64912507264135,-1.7847257641421266,20.925698212680985,41.742997868117186,20.31290530080527,50.0,0.0,US,18,0.2228091528160924,0.5637198622271292,EXPIRE,0.2645,240,NEUTRAL
1753278360000,111000,long_pdl_bounce,long,117324.9,3.271097526268255,3.8100721770472066,3.164299033257017,0.4324466822498857,0.6415863022711752,2.3498161278912537,-0.24243940748257067,84.1435192523508,-0.8186794546868712,21.279089496526353,32.174919074934905,15.241399098816117,50.0,0.0,EU,13,0.31023307589720106,2.531058020477567,TP1,0.6409,240,TRUE
1753289160000,111180,long_pdl_bounce,long,117371.2,1.9910274356398372,-0.42106332371311994,0.7403007023622803,0.5144306096507175,0.7346103963562606,2.297533958528831,-0.24011349913027152,51.34187222663577,-0.5572173582765912,37.81733965066124,45.09086427192179,32.88637339582945,50.0,0.0,US,16,0.5377046371605612,0.4656269494695866,TP1,0.1664,240,TRUE
1753339560000,112020,long_pdl_bounce,long,117231.4,0.4563168564047322,1.4125011487770252,0.8316511480389884,0.47973733419435044,1.2510391225763318,1.672269956179769,0.1673007518528555,31.913363319291978,-1.338140433394929,46.9259946856688,21.538157046268196,35.555977828163634,50.0,0.0,ASIA,6,0.4933242043888385,1.6002370136283894,TP2,1.0188,62,TRUE
1753407960000,113160,long_pdl_bounce,long,117140.1,1.0578415762086784,1.8571814159970985,3.235398105550876,0.5050054970402108,0.987422831491626,1.6726593359408677,0.09514633261403752,63.68331552973252,-1.3318601398883634,35.50191868155497,11.694678847898217,32.205591179934714,50.0,0.0,ASIA,1,0.2519370075197951,78.5333333325637,SL,-0.6134,35,FALSE
1753415160000,113280,long_pdl_bounce,long,115307.6,0.6257987351287408,0.4316928594223398,3.1872993911121674,0.5869042216402787,1.1507622935102042,3.1101463047885067,-0.05974187233931806,77.39410347606191,-2.6220577297154284,25.98536450190396,0.7820567861411689,20.66798827078094,50.0,0.0,ASIA,3,0.530251304805488,1.207345476261668,TP1,-0.0825,66,TRUE
1753425960000,113460,long_pdl_bounce,long,115204.9,0.7203848495572892,-0.3550292846926683,0.688465048531998,0.5397212294208192,1.0314200168813472,4.43220418131775,-0.18948268147996777,90.0150940277723,-2.022962564088964,22.585435072723328,38.64926568512542,14.37623220481565,50.0,0.0,ASIA,6,0.5250636681112472,0.5821054879351966,TP1,0.9025,240,TRUE
1753742760000,118740,long_pdl_bounce,long,117573.0,0.3753404336886499,-0.8300874705445712,-0.8847032989112765,0.4346157536217982,1.086863061743677,1.9657037897599168,0.2323354928093964,43.02232341022676,-0.14787058896093805,27.30084900527011,45.59725903992553,26.42512123584676,50.0,0.0,US,22,0.43811322339378866,1.7194047980567067,TP1,0.747,240,TRUE
1754365560000,129120,long_pdl_bounce,long,114097.3,0.9452829320512334,-0.38877723953809973,0.32156578115002,0.37515787581100823,1.107598753552128,1.1044155907641806,-0.9707022948742172,1.504607288354531,-0.7421005221998946,38.68870747268726,19.044457913624868,49.50489038921176,50.0,0.0,ASIA,3,0.30618770381868204,2.867153284665966,TP1,0.5245,240,TRUE
1754376360000,129300,long_pdl_bounce,long,114032.4,1.721116756882099,0.8728854394756198,-0.16112515706789868,0.3168681514970999,0.9570217645046337,1.1465692009119641,-0.9810635229777628,43.89297899084116,-0.6165451675281527,27.90166529500044,43.86904484701729,27.193083903229322,50.0,0.0,ASIA,6,0.20019872395569221,212.24999987894626,TP1,0.5817,240,TRUE
1754405160000,129780,long_pdl_bounce,long,112550.4,1.840242161809638,1.7559215042381646,3.866099012881386,0.5259561764186086,1.3721670943215223,1.7502944722569147,-0.9545437729422618,65.6295808507472,-1.088517794151247,30.73781587507851,24.083880122065906,30.408143455360374,50.0,0.0,US,14,0.49378894311261795,0.3976571920758209,NO_FILL,0.0,0,NEUTRAL
1755287160000,144480,long_pdl_bounce,long,116724.1,0.4801543145257739,-0.3137167594702258,-0.4075199085343853,0.49140442054462696,0.5711233562154152,2.4759912393061727,0.2922797102804257,52.39281328653632,-0.7083353994990866,20.44294736355981,47.58766702654206,22.186700533777227,50.0,0.0,US,19,0.3804536901105066,0.7730185497472531,NO_FILL,0.0,0,NEUTRAL
1755459960000,147360,long_pdl_bounce,long,117261.9,1.2732946615663363,-0.4509649632897717,0.055682299627167024,0.27053107260085185,1.4912255662341054,1.1587225482032009,-0.32379756802534765,26.861961104310602,-0.7260998671029173,40.74546033768742,31.873379132985747,28.455683141797834,50.0,0.0,US,19,0.4000306607389078,2.0596797671031486,SL,-0.6581,77,FALSE
1755488760000,147840,long_pdl_bounce,long,114925.4,2.87253369496143,0.46410293912443096,1.3960556534544537,0.43672706641081405,2.1778268401881764,3.0417237078918897,-0.5498241508153038,86.9128033970908,-2.0229396771452848,13.487147105839838,16.420142316247947,5.862424397301737,50.0,0.0,ASIA,3,0.5812142435601706,0.00011904053323921064,EXPIRE,0.1667,240,NEUTRAL
1755506760000,148140,long_pdl_bounce,long,115000.7,0.6747060085231903,-0.5089362994772274,-0.09109777518052756,0.47579309737361314,2.188723133668869,4.071889884345382,-0.8076868156838408,75.9408436569484,-0.27527161645702813,19.69439771113126,41.82590391467012,24.40521198998229,50.0,0.0,EU,8,0.4779519039160677,0.47555555555591156,EXPIRE,0.4034,240,NEUTRAL
1755517560000,148320,long_pdl_bounce,long,114728.9,0.5529634127858212,-0.5136229154193721,-0.5607771043684566,0.49738955460683276,2.1210868371015588,4.059364183120861,-0.9829595175174933,75.12666857864558,-0.6402738953282887,15.939400088593572,39.144628912658725,23.646323363049532,50.0,0.0,EU,11,0.6544453973378435,0.13979318268903423,EXPIRE,0.1146,240,NEUTRAL
1755528360000,148500,long_pdl_bounce,long,114700.1,0.6178451691696775,-0.027473143140709567,-0.1430831298258939,0.5491545219053775,2.05261486596493,3.7102017156661087,-1.0679864241555912,51.945318726444974,0.43279466624652635,33.97797002313642,61.367534034850145,28.974110393535142,50.0,0.0,US,14,0.3432772913047614,0.25210391511156155,EXPIRE,0.1265,240,NEUTRAL
1755697560000,151320,long_pdl_bounce,long,112659.2,0.35803281569594503,3.6441666505400465,1.6390239062611833,0.4403633102050001,0.8540403257736968,1.1747490061705677,-2.302741293434087,35.3373274691096,-0.7022460895938796,47.43978605787704,35.28610623137186,51.72938607292201,50.0,0.0,EU,13,0.19531473131119242,8.824209245749078,TP2,1.372,86,TRUE
1755791160000,152880,long_pdl_bounce,long,112643.9,1.0178002853711574,0.013893372011750236,3.4470902463666553,0.46494715890386273,0.7191369055528449,1.83796514653554,-1.9276126258326587,29.92562301834331,-0.5157754867947064,20.541539733790586,42.410018885350866,23.434480316748775,50.0,0.0,US,15,0.20765075793190774,5.510975609763228,SL,-0.6131,211,FALSE
1755863160000,154080,long_pdl_bounce,long,112146.9,2.64819761158597,-1.0780193407018694,0.4287320950549515,0.39967948717948565,0.8596234637109106,1.0666297492412746,-2.0589796771024247,4.871184782199223,-0.8141767907822931,44.35976500847618,20.57957933143095,44.04359265196227,50.0,0.0,EU,11,0.6419049291451333,28.189300411603664,TP2,1.4572,113,TRUE
1756032360000,156900,long_pdl_bounce,long,114674.1,0.4419122871416603,-0.47502810327516465,0.3281653730833792,0.2692659216898195,0.7523579017646845,0.7289762982078162,-0.36713666743567913,38.36023757795009,-0.33332088842737373,36.26428318547758,40.50069265782702,43.6101178483045,50.0,0.0,EU,10,0.9063254382747872,8.206422018374651,EXPIRE,-0.0948,240,NEUTRAL
